,time,S,E,I_sc,I_c,I_ct,I_ch,I_cicu,death,R,R_ct,N_contact,N,CumIncid,Cum_import,Cum_ss,CumIncid_tot,CumED_ct,CumAdmit,CumICU,Cumdx_ct,Cumdx_admicu,Cumdx_tot,pSet,dur_latent,dur_incubation,dur_symptomatic,dur_admitted,dur_icu,prob_test,prob_admit_diagnosed,condprob_icu,condprob_cfr,R0,initpop,seed_backCalc,prop_travel_test,drop_Reffective,social_distancing,tau_1,tau_2,tau_1_max,tau_2_max,when_test_increase,Ncases_trigger,serial_interval,event_ss,event_ss_modulo,cfr_among_dx,cfr_among_admit,import_travel,prob_diagnosed,prob_test_max,dur_subclinical,dur_inf,beta,omega,alpha,g1,g2,g3,rate_icu,death_rate,length_of_stay,parm_import,prob_admit,min_SI_calc,max_SI_calc,valid_si_check,validity_cfr_among_dx,valid_cfr_check,prob_test_max_valid,valid_prob_test_max_check,valid_tau_1_check,valid_tau_2_check,valid_prob_test_check,valid_keep,LHS_seed,seed_prop
95,94,5645509.67630342,57796.498130594504,79097.6632499743,105802.974180001,11757.7305454694,7906.26508597388,1479.64419173677,2706.34113394779,246582.81603572,38091.3911431593,6172881.01904287,6196731,550778.822874734,152.500889353943,89.9999324876981,551021.3236965761,39158.8781729067,22782.4939273804,7141.0217049044095,6107.180954579139,30729.4908751829,36836.671829762,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
96,95,5612885.95979732,60778.0707435305,83357.7778822951,111846.909126514,12429.276777655601,8362.26297654245,1567.56490103864,2880.7223376644106,262126.06072660102,40496.3947308361,6171491.17300709,6196731,583400.039391906,155.000878283554,89.9999324876981,583645.040202678,41557.7161870103,24178.505536726898,7593.729326342621,6492.61497695205,32684.9267264313,39177.5417033833,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
97,96,5578653.05725559,63854.239451749294,87776.37723733099,118161.518436215,13130.900523847,8839.27144000568,1659.8736144821698,3065.4187329231395,278551.998552903,43038.344754953396,6170035.53568874,6196731,617630.4420612371,157.500750683774,89.9999324876981,617877.942744409,44084.706133168205,25649.1029330431,8072.4032343895415,6899.9336732615,34753.0757968998,41653.0094701613,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
98,97,5542768.94316723,67020.7866051906,92350.6305353712,124749.650415158,13862.9132499203,9337.60173124295,1756.6850709825799,3260.93891316615,295899.518590485,45723.3317212509,6168512.86103468,6196731,653512.056343896,160.000556383083,89.9999324876981,653762.056832767,46744.4855034916,27196.985183071298,8578.22209129242,7330.10236836453,36939.1257747453,44269.2281431098,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
99,98,5505194.84989378,70272.3834448318,97076.4085278949,131613.002007259,14625.5084683527,9857.488361396941,1858.1017843522102,3467.8061426119702,314207.939862621,48557.5115068991,6166922.09524328,6196731,691083.650463088,162.499710643006,89.9999324876981,691336.15010622,49541.6115662708,28824.8046973421,9112.383023897808,7784.09480623038,39248.3574750999,47032.452281330196,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
100,99,5465896.36370275,73602.7064354091,101948.174087579,138751.73037096,15418.6988029985,10399.0600662996,1964.2141290774,3686.5506485458204,333516.461445891,51547.040310480195,6165262.47635307,6196731,730379.6366912,164.999673552575,89.99993248770241,730634.636297241,52480.457389817595,30535.1065675839,9676.08558572045,8262.88399192058,41686.0728589664,49948.956850886905,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
101,100,5424838.3328574,77008.13845738981,106959.818700647,146164.59333279802,16242.3510205123,10962.3506755495,2075.09633795107,3917.71678738334,353864.49381378206,54698.108016574406,6163533.485178599,6196731,771430.1678114659,167.499420955716,94.99991016505881,771692.667142588,55565.2637888203,32330.3590491503,10270.542745218101,8767.445966046991,44257.6476854343,53025.0936514812,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
102,101,5382000.91078932,80474.6979513587,112102.89287014099,153848.740958875,17096.1436149548,11547.2810793992,2190.8068508004103,4161.8511879476,375290.84398648795,58016.830710707596,6161734.91726689,6196731,814260.089999232,169.999308236336,99.999903201837,814530.0892106721,58800.0260324051,34212.8874114045,10896.9564315174,9298.743989127941,46968.421572224295,56267.165561352194,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
103,102,5337370.15888538,83989.0344823419,117365.332846541,161799.169904422,17979.5255251719,12153.625066073799,2311.3827552606,4419.510052427991,397833.98490162706,61509.275580751,6159866.95660106,6196731,858888.342274692,172.49892823385898,99.9999116892391,859160.8411146171,62188.46292147,36184.8560582154,11556.5272480158,9857.73085334538,49823.7462492561,59681.4771026015,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
104,103,5290928.96087187,87545.56329692769,122734.497099949,170008.328132096,18891.6527288104,12780.980047191599,2436.83913367184,4691.25218757347,421531.527384364,65181.3991175447,6157930.27590275,6196731,905327.040333159,174.998883278832,99.9999116892391,905602.039128129,65733.9143845731,38248.2088302188,12250.4392412773,10445.340180364201,52828.9178199044,63274.2580002686,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
