"","time","S","E","I_sc","I_c","I_ct","I_ch","I_cicu","death","R","R_ct","N_contact","N","CumIncid","Cum_import","Cum_ss","CumIncid_tot","CumED_ct","CumAdmit","CumICU","Cumdx_ct","Cumdx_admicu","Cumdx_tot","pSet","dur_latent","dur_incubation","dur_symptomatic","dur_admitted","dur_icu","prob_test","prob_admit_diagnosed","condprob_icu","condprob_cfr","R0","initpop","seed_backCalc","prop_travel_test","drop_Reffective","social_distancing","tau_1","tau_2","tau_1_max","tau_2_max","when_test_increase","Ncases_trigger","serial_interval","event_ss","event_ss_modulo","cfr_among_dx","import_travel","prob_diagnosed","prob_test_max","dur_subclinical","dur_inf","beta","omega","alpha","g1","g2","g3","rate_icu","death_rate","length_of_stay","parm_import","prob_admit","min_SI_calc","max_SI_calc","valid_si_check","validity_cfr_among_dx","valid_cfr_check","prob_test_max_valid","valid_prob_test_max_check","valid_tau_1_check","valid_tau_2_check","valid_prob_test_check","valid_keep","LHS_seed"
"242",241,1794251.2651142,542.852165114206,1063.10504983477,3305.15885009696,368.60764044323,404.876359858522,122.510548200499,58411.1588122818,3739615.94316858,598645.522291385,6137423.84663924,6196731,4401758.24401536,391.490903472381,129.999966961581,4402279.73488578,415910.117880273,242042.557771896,122312.43585726,92718.2080169339,548266.146384804,640984.354401735,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"243",242,1794016.12979119,512.677342959041,1004.01597980319,3121.97205987026,348.219402102358,382.880515335473,115.891332069545,58424.801482279,3740074.88974926,598729.522345124,6137459.20726824,6196731,4401991.87942231,392.990819541558,129.999966961581,4402514.87020879,415940.915348178,242060.399728732,122334.355654254,92729.6297772022,548370.024704671,641099.654481871,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"244",243,1793793.46809635,484.190586597146,948.212038576925,2949.30081378821,329.051861730786,362.09193588713,109.624489215477,58437.7067333215,3740508.43500702,598808.918437502,6137492.52497987,6196731,4402212.54113746,394.990799216683,129.999966961581,4402737.53190362,415970.111347341,242077.282110316,122355.085222583,92740.4217891681,548468.268466817,641208.690255983,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"245",244,1793583.05120832,457.299448242235,895.516228208259,2786.19262409672,310.944468455447,342.420210720328,103.692160118908,58449.9138748503,3740918.00245987,598883.967317107,6137524.02928588,6196731,4402420.9580255,396.990799216683,129.999966961581,4402947.94879166,415997.705709914,242093.232321337,122374.688933893,92750.6198412695,548561.18139433,641311.801235598,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"246",245,1793384.19689794,431.911654863723,845.758346058869,2632.12246048753,293.839205267975,323.806851675872,98.0768721602555,58461.4601990135,3741304.9206115,598954.906901028,6137553.81687191,6196731,4402617.81233588,398.990799216683,129.999966961581,4403146.80310204,416023.787708583,242108.302320562,122393.227326768,92760.2568002516,548649.049696985,641409.306497234,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"247",246,1793196.26100357,407.941599248399,798.775901792621,2486.59418122313,277.681223921334,306.196327617935,92.7620621064776,58472.3810344871,3741670.44447007,599021.962195953,6137581.97935189,6196731,4402803.74823024,400.990799216683,129.999966961581,4403334.73899641,416048.441661839,242122.541182246,122410.757741805,92769.3637202749,548732.14447686,641501.508197133,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"248",247,1793018.63486274,385.309159398707,754.414664490293,2349.13819694684,262.418589734826,289.535866769691,87.7320116141931,58482.7098759201,3742015.76060954,599085.346162835,6137608.60365599,6196731,4402979.37437108,402.990799216683,129.999966961581,4403512.36513724,416071.747234639,242135.995272235,122427.334527898,92777.9699669496,548810.722707811,641588.692674759,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"249",248,1792850.74440784,363.939206393839,712.528287829365,2219.30913295031,248.00190263188,273.775254657318,82.9717944792344,58492.4784882993,3742341.99112662,599145.260398298,6137633.77255996,6196731,4403145.26601964,404.989605550377,129.999966961581,4403680.25559214,416093.779492979,242148.708345386,122443.009207814,92786.1033140774,548885.028022432,641671.131336508,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"250",249,1792692.5523133,343.75534860229,672.97808437063,2096.32886077632,234.295054479827,258.840857113532,78.4668205317815,58501.7168716814,3742650.17585023,599201.889938906,6137657.68039622,6196731,4403301.95817708,406.489542653221,129.999966961581,4403838.44768668,416114.515258757,242160.694283955,122457.829948309,92793.7889612664,548955.288721948,641749.077683212,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
"251",250,1792543.06505609,324.679570410771,635.627471455642,1980.22306072265,221.360003612783,244.718067616128,74.2025714351801,58510.4534183702,3742941.26947401,599255.401306263,6137680.26593899,6196731,4403449.94560189,407.989375055775,129.999966961581,4403987.93494388,416134.115832685,242172.019534612,122471.841624722,92801.0490761274,549021.71828927,641822.767365395,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,0.2,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011,1,0.55,0.1,3.2,10.2,0.235294117647059,0.5,0.3125,0.142857142857143,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,"import_ON",0.055,2,12.2,TRUE,0.01254,TRUE,0.523809523809524,TRUE,TRUE,TRUE,TRUE,TRUE,2091
